"Action","FolderName","FromPath","ToPath","Year","Status"
"MOVE","007_A_View_to_a_Kill_1985_Domark","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\007_A_View_to_a_Kill_1985_Domark","..\thumbnails-deduped\1985\007_A_View_to_a_Kill_1985_Domark","1985","Success"
"MOVE","007_Car_Chase_1985_Coplin_Software","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\007_Car_Chase_1985_Coplin_Software","..\thumbnails-deduped\1985\007_Car_Chase_1985_Coplin_Software","1985","Success"
"MOVE","007_Licence_to_Kill_1989_Domark","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\007_Licence_to_Kill_1989_Domark","..\thumbnails-deduped\1989\007_Licence_to_Kill_1989_Domark","1989","Success"
"MOVE","007_Live_and_Let_Die_1988_Domark","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\007_Live_and_Let_Die_1988_Domark","..\thumbnails-deduped\1988\007_Live_and_Let_Die_1988_Domark","1988","Success"
"MOVE","007_The_Living_Daylights_1987_Domark","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\007_The_Living_Daylights_1987_Domark","..\thumbnails-deduped\1987\007_The_Living_Daylights_1987_Domark","1987","Success"
"MOVE","007_The_Spy_Who_Loved_Me_1990_Domark_cr_NPS_t_2_NPS","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\007_The_Spy_Who_Loved_Me_1990_Domark_cr_NPS_t_2_NPS","..\thumbnails-deduped\1990\007_The_Spy_Who_Loved_Me_1990_Domark_cr_NPS_t_2_NPS","1990","Success"
"MOVE","0_and_X_1987_Wicked_Software","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\0_and_X_1987_Wicked_Software","..\thumbnails-deduped\1987\0_and_X_1987_Wicked_Software","1987","Success"
"MOVE","10-Pin_Bowling_1984_CDS_Microsystems_h_CHR","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\10-Pin_Bowling_1984_CDS_Microsystems_h_CHR","..\thumbnails-deduped\1984\10-Pin_Bowling_1984_CDS_Microsystems_h_CHR","1984","Success"
"MOVE","10..._Knockout_1985_Amersoft","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\10..._Knockout_1985_Amersoft","..\thumbnails-deduped\1985\10..._Knockout_1985_Amersoft","1985","Success"
"MOVE","1001_BC_1986_ERE_Informatique_fr","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\1001_BC_1986_ERE_Informatique_fr","..\thumbnails-deduped\1986\1001_BC_1986_ERE_Informatique_fr","1986","Success"
