"BaseIdentifier","Action","Identifier","Title","KeptIdentifier","KeptTitle"
"a8b_Rally_Speedway_1983","REMOVE","a8b_Rally_Speedway_1983_Adventure_International_US_a2_k_file","Rally Speedway","a8b_Rally_Speedway_1983_Adventure_International_US_a_k_file","Rally Speedway"
"a8b_Rally_Speedway_1983","REMOVE","a8b_Rally_Speedway_1983_Adventure_International_US_k_file","Rally Speedway","a8b_Rally_Speedway_1983_Adventure_International_US_a_k_file","Rally Speedway"
"zx_Pang_1990_Ocean","REMOVE","zx_Pang_1990_Ocean_128K_needs_tape_load","Pang","zx_Pang_1990_Ocean_128K_incomplete","Pang"
"zx_Pang_1990_Ocean","REMOVE","zx_Pang_1990_Ocean_b_128K_needs_tape_load","Pang","zx_Pang_1990_Ocean_128K_incomplete","Pang"
"zx_Daley_Thompsons_Supertest","REMOVE","zx_Daley_Thompsons_Supertest_1985_Ocean_a_128K","Daley Thompson's Supertest","zx_Daley_Thompsons_Supertest_1985_Ocean_128K","Daley Thompson's Supertest"
"zx_Daley_Thompsons_Supertest","REMOVE","zx_Daley_Thompsons_Supertest_1985_Ocean_a2_128K","Daley Thompson's Supertest","zx_Daley_Thompsons_Supertest_1985_Ocean_128K","Daley Thompson's Supertest"
"zx_Daley_Thompsons_Supertest","REMOVE","zx_Daley_Thompsons_Supertest_1985_Ocean_a3_128K","Daley Thompson's Supertest","zx_Daley_Thompsons_Supertest_1985_Ocean_128K","Daley Thompson's Supertest"
"zx_Daley_Thompsons_Supertest","REMOVE","zx_Daley_Thompsons_Supertest_Day_1_1985_Ocean","Daley Thompson's Supertest - Day 1","zx_Daley_Thompsons_Supertest_1985_Ocean_128K","Daley Thompson's Supertest"
"zx_Daley_Thompsons_Supertest","REMOVE","zx_Daley_Thompsons_Supertest_Day_2_1985_Ocean","Daley Thompson's Supertest - Day 2","zx_Daley_Thompsons_Supertest_1985_Ocean_128K","Daley Thompson's Supertest"
"zx_Lancelot_1988_Mandarin","REMOVE","zx_Lancelot_1988_Mandarin_Software_Part_1_of_3_128K","Lancelot (Part 1 of 3)","zx_Lancelot_1988_Mandarin_Software_Part_1_of_3","Lancelot (Part 1 of 3)"
"zx_Lancelot_1988_Mandarin","REMOVE","zx_Lancelot_1988_Mandarin_Software_Part_1_of_3_a","Lancelot (Part 1 of 3)","zx_Lancelot_1988_Mandarin_Software_Part_1_of_3","Lancelot (Part 1 of 3)"
"zx_Lancelot_1988_Mandarin","REMOVE","zx_Lancelot_1988_Mandarin_Software_Part_2_of_3","Lancelot (Part 2 of 3)","zx_Lancelot_1988_Mandarin_Software_Part_1_of_3","Lancelot (Part 1 of 3)"
"zx_Lancelot_1988_Mandarin","REMOVE","zx_Lancelot_1988_Mandarin_Software_Part_2_of_3_128K","Lancelot (Part 2 of 3)","zx_Lancelot_1988_Mandarin_Software_Part_1_of_3","Lancelot (Part 1 of 3)"
"zx_Lancelot_1988_Mandarin","REMOVE","zx_Lancelot_1988_Mandarin_Software_Part_2_of_3_a","Lancelot (Part 2 of 3)","zx_Lancelot_1988_Mandarin_Software_Part_1_of_3","Lancelot (Part 1 of 3)"
"zx_Lancelot_1988_Mandarin","REMOVE","zx_Lancelot_1988_Mandarin_Software_Part_3_of_3","Lancelot (Part 3 of 3)","zx_Lancelot_1988_Mandarin_Software_Part_1_of_3","Lancelot (Part 1 of 3)"
